ad_id,ad_text,vertical,geo,impressions,clicks,conversions,ctr,cr
ad_0000,"Минус 8кг за 7 дней! 50,000+ отзывов. Скидка 40% только сегодня 🔥",nutra,DE,198061,25066,182,0.12656,0.00729
ad_0001,Получи 100€ фриспинов прямо сейчас! Регистрация за 30 секунд 🔥,gambling,MX,115604,6627,47,0.05733,0.00724
ad_0002,Получи 150% фриспинов прямо сейчас! Регистрация за 30 секунд 🔥,gambling,US,65990,5260,31,0.07971,0.00594
ad_0003,"Минус 12кг за 5 дней! 1,000+ отзывов. Скидка 40% только сегодня 🔥",nutra,IT,122757,16969,177,0.13824,0.01044
ad_0004,Продукт для снижения веса. Попробуйте и оцените результат,nutra,IN,6703,69,0,0.01037,0.00073
ad_0005,Лучшие слоты онлайн. Бонус 200% на первый депозит. Играй сейчас,gambling,ID,45758,1229,2,0.02686,0.00187
ad_0006,Получи 100% фриспинов прямо сейчас! Регистрация за 30 секунд 🔥,gambling,TR,104595,5057,11,0.04835,0.00218
ad_0007,Лучшее онлайн казино для вас. Попробуйте свою удачу сегодня,gambling,TR,95165,905,0,0.00952,0.00064
ad_0008,Продукт для снижения веса. Попробуйте и оцените результат,nutra,IN,16390,148,0,0.00905,0.0006
ad_0009,Похудение без диет. NaturThin со скидкой 30%. Бесплатная доставка,nutra,PH,25656,403,0,0.01571,0.00062
ad_0010,Натуральное средство для стройности. Простой заказ онлайн,nutra,IN,169794,2602,2,0.01533,0.00086
ad_0011,Снижение веса естественным путём. Закажи KetoMax сегодня,nutra,TR,189699,4480,4,0.02362,0.00092
ad_0012,Онлайн казино. Широкий выбор игр. Бонусы для игроков,gambling,US,64742,1762,3,0.02723,0.00225
ad_0013,Букмекер онлайн. Множество событий для ставок каждый день,betting,DE,66024,789,1,0.01196,0.00134
ad_0014,"Выиграй до 100,000€ с бонусом 500€! Начни с 5€ депозита",gambling,ID,102040,2069,3,0.02028,0.00149
ad_0015,Букмекерская контора. Ставки на спорт онлайн. Регистрация,betting,BR,74986,884,1,0.0118,0.00206
ad_0016,Снижение веса естественным путём. Закажи KetoMax сегодня,nutra,DE,145021,5752,9,0.03967,0.00173
ad_0017,"⚡ ПОСЛЕДНИЙ ДЕНЬ: BurnPro со скидкой 60%. Уже 5,000+ заказов",nutra,BR,172772,14459,50,0.08369,0.00348
ad_0018,Известный блогер раскрыл секрет: минус 5кг за 7 дней. Попробуй бесплатно!,nutra,MX,13414,461,0,0.03443,0.00115
ad_0019,"🏆 50,000 тысяч игроков выбрали нас. Фрибет 100%€. Присоединяйся!",betting,ID,153682,3073,6,0.02,0.00212
ad_0020,Фитнес-тренер раскрыл секрет: минус 12кг за 2 дней. Попробуй бесплатно!,nutra,TR,125285,4595,10,0.03668,0.00232
ad_0021,"1,000+ игроков уже выиграли сегодня. Твоя очередь! Бонус 150%",gambling,IN,146289,5525,15,0.03777,0.00276
ad_0022,"Букмекер с лицензией. 5,000+ видов спорта. Фрибет до 100€€",betting,IT,99895,1922,2,0.01925,0.00155
ad_0023,"Играй в лучшие слоты. Бонус 500€, вейджер x30. Регистрируйся",gambling,GB,17351,555,1,0.03203,0.00352
ad_0024,Онлайн казино. Широкий выбор игр. Бонусы для игроков,gambling,GB,46938,1534,2,0.03269,0.00154
ad_0025,Снижение веса естественным путём. Закажи SlimFit сегодня,nutra,ID,105864,2475,3,0.02338,0.00125
ad_0026,"Делай ставки на спорт. Высокие коэффициенты, быстрые выплаты",betting,IT,143704,3440,9,0.02394,0.00288
ad_0027,Букмекер онлайн. Множество событий для ставок каждый день,betting,MX,8009,103,0,0.01289,0.0017
ad_0028,Средство для похудения. Натуральные компоненты. Закажите,nutra,DE,145763,3241,3,0.02224,0.00122
ad_0029,LIVE ставки на Bundesliga! Бонус 200%€ + кэшбэк 10%. Начни сейчас 🔥,betting,TR,123940,5251,29,0.04237,0.00568
ad_0030,"Играй в лучшие слоты. Бонус 200€, вейджер x35. Регистрируйся",gambling,IN,138085,2112,2,0.0153,0.00116
ad_0031,Лучшее онлайн казино для вас. Попробуйте свою удачу сегодня,gambling,IN,172496,1642,0,0.00952,0.00053
ad_0032,Известный блогер раскрыл секрет: минус 10кг за 5 дней. Попробуй бесплатно!,nutra,IT,146394,7815,37,0.05339,0.00481
ad_0033,Снижение веса естественным путём. Закажи BurnPro сегодня,nutra,US,133085,5636,19,0.04235,0.00343
ad_0034,Добро пожаловать в мир азарта. Играйте и выигрывайте призы,gambling,DE,100153,1841,2,0.01839,0.00121
ad_0035,⚽ Фрибет 150%€ без условий! Ставь на Serie A сегодня. Коэфы до 5x,betting,BR,27453,1399,11,0.05098,0.00809
ad_0036,Натуральное средство для стройности. Простой заказ онлайн,nutra,PH,23143,243,0,0.01053,0.00101
ad_0037,"⚡ ПОСЛЕДНИЙ ДЕНЬ: KetoMax со скидкой 70%. Уже 5,000+ заказов",nutra,GB,74483,4118,17,0.0553,0.00425
ad_0038,Натуральный продукт для снижения веса. До минус 8кг за месяц,nutra,IT,146373,5556,11,0.03796,0.00208
ad_0039,Худейте эффективно с нашим продуктом. Доставка по всей стране,nutra,BR,86714,1501,0,0.01731,0.00057
ad_0040,"Делай ставки на спорт. Высокие коэффициенты, быстрые выплаты",betting,TR,140679,2641,5,0.01878,0.00209
ad_0041,Ставки на спорт с коэфами до 20x. 150%€ фрибет — только 3 дней!,betting,DE,10514,805,5,0.0766,0.00656
ad_0042,Известный блогер раскрыл секрет: минус 5кг за 5 дней. Попробуй бесплатно!,nutra,MX,190556,5087,7,0.0267,0.00138
ad_0043,Звезда ТВ раскрыл секрет: минус 5кг за 3 дней. Попробуй бесплатно!,nutra,US,23574,1678,7,0.07121,0.00472
ad_0044,"Похудей на 8кг без спорта и диет! 5,000+ довольных клиентов. Закажи сейчас",nutra,BR,146356,6883,22,0.04703,0.00329
ad_0045,Надёжное казино с быстрыми выплатами. До 500€ бонус на депозит,gambling,IT,68700,2553,10,0.03717,0.00398
ad_0046,Ставки на спорт с коэфами до 50x. 100%€ фрибет — только 3 дней!,betting,ID,97876,2354,5,0.02406,0.00218
ad_0047,"Делай ставки на спорт. Высокие коэффициенты, быстрые выплаты",betting,ID,196122,3277,3,0.01671,0.00108
ad_0048,🎰 500€ бонус на первый депозит! Только 7 дней. Играй и выигрывай!,gambling,DE,33644,3248,27,0.09655,0.00835
ad_0049,⚡ ГОРЯЩЕЕ ПРЕДЛОЖЕНИЕ: 100€ бонус + 150 фриспинов. Осталось 12ч,gambling,BR,115593,5480,19,0.04741,0.00354
ad_0050,"Попробуй удачу в 10,000+ играх. Быстрые выплаты, бонус 150%",gambling,IN,121164,2109,2,0.01741,0.00123
ad_0051,"Минус 8кг за 3 дней! 10,000+ отзывов. Скидка 40% только сегодня 🔥",nutra,DE,111539,11443,55,0.1026,0.00484
ad_0052,Ставки на спорт с коэфами до 5x. 200€€ фрибет — только 2 дней!,betting,PH,48158,1224,3,0.02542,0.00287
ad_0053,"Букмекер с лицензией. 5,000+ видов спорта. Фрибет до 200%€",betting,US,79776,4629,28,0.05803,0.00612
ad_0054,Букмекерская контора. Ставки на спорт онлайн. Регистрация,betting,MX,193326,2650,3,0.01371,0.00134
ad_0055,Ставки на спорт с коэфами до 5x. 200%€ фрибет — только 5 дней!,betting,GB,156828,5352,18,0.03413,0.00339
ad_0056,"Минус 5кг за 7 дней! 10,000+ отзывов. Скидка 70% только сегодня 🔥",nutra,MX,129987,9218,82,0.07092,0.00891
ad_0057,"⚡ ПОСЛЕДНИЙ ДЕНЬ: SlimFit со скидкой 70%. Уже 10,000+ заказов",nutra,MX,53712,3269,13,0.06088,0.004
ad_0058,Получи 50€ фриспинов прямо сейчас! Регистрация за 30 секунд 🔥,gambling,IT,66657,4296,15,0.06445,0.00363
ad_0059,Ставки на спорт. Бонусы и акции для клиентов,betting,DE,154336,3548,10,0.02299,0.00288
ad_0060,Надёжное казино с быстрыми выплатами. До 100% бонус на депозит,gambling,IT,167367,7399,19,0.04421,0.00269
ad_0061,Онлайн казино. Широкий выбор игр. Бонусы для игроков,gambling,ID,158006,3499,4,0.02215,0.00116
ad_0062,Эффективное средство для похудения. Скидка 50% на первый заказ,nutra,MX,58545,1997,7,0.03412,0.00395
ad_0063,Известный блогер раскрыл секрет: минус 12кг за 7 дней. Попробуй бесплатно!,nutra,TR,181079,4311,5,0.02381,0.00121
ad_0064,"SlimFit — проверенное средство. 100,000+ положительных отзывов",nutra,IN,7441,192,0,0.02584,0.00133
ad_0065,Лучшие коэффициенты на Champions League. Начни с бонуса 100%€,betting,IT,145937,2280,3,0.01563,0.0016
ad_0066,"Выиграй до 100,000€ с бонусом 150%! Начни с 5€ депозита",gambling,MX,69037,1439,2,0.02085,0.00192
ad_0067,"1,000+ событий каждый день. Фрибет 500€€ при регистрации. Успей забрать!",betting,IN,189428,4180,14,0.02207,0.00351
ad_0068,Спортивные ставки для всех. Простая регистрация. Начните сегодня,betting,IT,176435,2852,4,0.01617,0.00147
ad_0069,Средство для похудения. Натуральные компоненты. Закажите,nutra,US,150385,5477,8,0.03642,0.00151
ad_0070,Ставки на спорт. Бонусы и акции для клиентов,betting,DE,40203,735,1,0.01829,0.00271
ad_0071,Ставки на спорт. Бонусы и акции для клиентов,betting,DE,33058,382,0,0.01156,0.00122
ad_0072,"⚡ ПОСЛЕДНИЙ ДЕНЬ: KetoMax со скидкой 50%. Уже 100,000+ заказов",nutra,MX,193117,13162,68,0.06816,0.00517
ad_0073,Букмекерская контора. Ставки на спорт онлайн. Регистрация,betting,BR,171261,1724,1,0.01007,0.00068
ad_0074,"Делай ставки на спорт. Высокие коэффициенты, быстрые выплаты",betting,MX,70829,1716,4,0.02423,0.00265
ad_0075,Онлайн казино. Широкий выбор игр. Бонусы для игроков,gambling,DE,116037,3557,9,0.03066,0.00272
ad_0076,⚽ Фрибет 200%€ без условий! Ставь на Premier League сегодня. Коэфы до 20x,betting,US,47357,3023,20,0.06385,0.00685
ad_0077,Похудение без диет. SlimFit со скидкой 60%. Бесплатная доставка,nutra,PH,34327,728,0,0.02121,0.00103
ad_0078,"Играй в лучшие слоты. Бонус 100%, вейджер x40. Регистрируйся",gambling,GB,157701,9036,47,0.0573,0.00528
ad_0079,Натуральный продукт для снижения веса. До минус 8кг за месяц,nutra,GB,15965,550,1,0.03447,0.00252
ad_0080,Ставки на спорт. Бонусы и акции для клиентов,betting,TR,15458,122,0,0.0079,0.001
ad_0081,Букмекерская контора. Ставки на спорт онлайн. Регистрация,betting,BR,70412,1289,1,0.01832,0.00143
ad_0082,Эффективное средство для похудения. Скидка 70% на первый заказ,nutra,DE,111529,6689,27,0.05998,0.00407
ad_0083,Начните путь к стройности сегодня. Наш продукт поможет вам,nutra,GB,67059,2223,7,0.03316,0.00351
ad_0084,Добро пожаловать в мир азарта. Играйте и выигрывайте призы,gambling,GB,113080,1861,1,0.01646,0.00105
ad_0085,Играйте в казино онлайн. Множество слотов и настольных игр,gambling,GB,92080,1704,1,0.01851,0.00116
ad_0086,"🏆 10,000 тысяч игроков выбрали нас. Фрибет 150%€. Присоединяйся!",betting,BR,105281,3542,13,0.03365,0.00373
ad_0087,⚡ ГОРЯЩЕЕ ПРЕДЛОЖЕНИЕ: 150% бонус + 150 фриспинов. Осталось 24ч,gambling,PH,85003,3235,12,0.03806,0.0039
ad_0088,🎰 50€ бонус на первый депозит! Только 5 дней. Играй и выигрывай!,gambling,BR,109455,6564,48,0.05997,0.00742
ad_0089,Букмекер онлайн. Множество событий для ставок каждый день,betting,IN,23198,173,0,0.00746,0.00169
ad_0090,Букмекерская контора. Ставки на спорт онлайн. Регистрация,betting,TR,138537,1943,2,0.01403,0.00108
ad_0091,Ставки на Champions League и другие лиги. Бонус 100%€ для новых клиентов,betting,MX,73475,1490,3,0.02029,0.00234
ad_0092,"Выиграй до 10,000€ с бонусом 100%! Начни с 20€ депозита",gambling,IT,118918,4076,13,0.03428,0.0034
ad_0093,"Букмекер с лицензией. 1,000+ видов спорта. Фрибет до 100€€",betting,TR,35315,775,1,0.02195,0.00215
ad_0094,Ставки на спорт с коэфами до 50x. 200%€ фрибет — только 3 дней!,betting,IT,5443,194,0,0.0357,0.00227
ad_0095,Средство для похудения. Натуральные компоненты. Закажите,nutra,MX,193594,2967,3,0.01533,0.00119
ad_0096,Эффективное средство для похудения. Скидка 60% на первый заказ,nutra,BR,23343,774,1,0.03316,0.00137
ad_0097,Снижение веса естественным путём. Закажи BurnPro сегодня,nutra,TR,178903,4338,7,0.02425,0.00163
ad_0098,"Играй в лучшие слоты. Бонус 200%, вейджер x45. Регистрируйся",gambling,IN,90506,1251,1,0.01383,0.00116
ad_0099,"Спортивные ставки онлайн. Бонус 150%€, вывод за 24 часа",betting,IN,55289,829,0,0.015,0.00106
ad_0100,Букмекерская контора. Ставки на спорт онлайн. Регистрация,betting,ID,50620,617,0,0.01219,0.00144
ad_0101,"Похудей на 15кг без спорта и диет! 5,000+ довольных клиентов. Закажи сейчас",nutra,IT,5106,449,3,0.08798,0.00724
ad_0102,Ставки на спорт с коэфами до 50x. 500€€ фрибет — только 7 дней!,betting,IN,120811,2266,3,0.01876,0.00142
ad_0103,"Спортивные ставки онлайн. Бонус 500€€, вывод за 24 часа",betting,BR,197927,4437,11,0.02242,0.00262
ad_0104,"Выиграй до 100,000€ с бонусом 100€! Начни с 5€ депозита",gambling,DE,66569,3293,41,0.04948,0.01257
ad_0105,Известный блогер раскрыл секрет: минус 8кг за 5 дней. Попробуй бесплатно!,nutra,IN,17114,515,1,0.03015,0.00254
ad_0106,Надёжное казино с быстрыми выплатами. До 200€ бонус на депозит,gambling,PH,24091,665,1,0.02763,0.00269
ad_0107,Ставки на спорт. Бонусы и акции для клиентов,betting,ID,170089,1471,1,0.00865,0.00109
ad_0108,Худейте эффективно с нашим продуктом. Доставка по всей стране,nutra,BR,187545,2614,2,0.01394,0.00078
ad_0109,"Букмекер с лицензией. 50,000+ видов спорта. Фрибет до 150%€",betting,PH,176981,2619,3,0.0148,0.00152
ad_0110,Начните путь к стройности сегодня. Наш продукт поможет вам,nutra,US,32941,1650,2,0.05009,0.00172
ad_0111,"1,000+ событий каждый день. Фрибет 200€€ при регистрации. Успей забрать!",betting,BR,126778,5573,15,0.04396,0.00271
ad_0112,⚡ ГОРЯЩЕЕ ПРЕДЛОЖЕНИЕ: 200€ бонус + 50 фриспинов. Осталось 48ч,gambling,MX,39954,1576,6,0.03945,0.00438
ad_0113,"Спортивные ставки онлайн. Бонус 100€€, вывод за 24 часа",betting,MX,88177,1655,2,0.01878,0.00136
ad_0114,Букмекер онлайн. Множество событий для ставок каждый день,betting,IT,193553,2150,2,0.01111,0.00136
ad_0115,Натуральное средство для стройности. Простой заказ онлайн,nutra,ID,148621,1425,0,0.00959,0.00061
ad_0116,Делайте ставки на спортивные события. Широкая линия,betting,GB,129433,2595,4,0.02005,0.00165
ad_0117,Спортивные ставки для всех. Простая регистрация. Начните сегодня,betting,IN,69812,1408,3,0.02017,0.00244
ad_0118,Продукт для снижения веса. Попробуйте и оцените результат,nutra,IN,141655,995,0,0.00703,0.00045
ad_0119,"🏆 10,000 тысяч игроков выбрали нас. Фрибет 500€€. Присоединяйся!",betting,BR,192051,5582,20,0.02907,0.00375
ad_0120,"🏆 100,000 тысяч игроков выбрали нас. Фрибет 200%€. Присоединяйся!",betting,BR,146597,4125,11,0.02814,0.00272
ad_0121,"5,000+ игроков уже выиграли сегодня. Твоя очередь! Бонус 150%",gambling,GB,186914,17177,163,0.0919,0.00953
ad_0122,Получи 500€ фриспинов прямо сейчас! Регистрация за 30 секунд 🔥,gambling,BR,111849,4309,12,0.03853,0.00279
ad_0123,"Делай ставки на спорт. Высокие коэффициенты, быстрые выплаты",betting,MX,113992,2152,3,0.01888,0.00155
ad_0124,Лучшее онлайн казино для вас. Попробуйте свою удачу сегодня,gambling,BR,115138,2997,7,0.02603,0.00235
ad_0125,Делайте ставки на спортивные события. Широкая линия,betting,IT,10120,117,0,0.01157,0.00152
ad_0126,"BurnPro — проверенное средство. 10,000+ положительных отзывов",nutra,ID,83279,3864,14,0.04641,0.0038
ad_0127,"Спортивные ставки онлайн. Бонус 50€€, вывод за 24 часа",betting,ID,197579,2165,2,0.01096,0.00095
ad_0128,Начните путь к стройности сегодня. Наш продукт поможет вам,nutra,IT,62812,1862,2,0.02965,0.00144
ad_0129,"🏆 5,000 тысяч игроков выбрали нас. Фрибет 500€€. Присоединяйся!",betting,BR,12608,483,2,0.03833,0.00484
ad_0130,Букмекерская контора. Ставки на спорт онлайн. Регистрация,betting,TR,183032,1742,1,0.00952,0.00094
ad_0131,Букмекер онлайн. Множество событий для ставок каждый день,betting,GB,127523,942,0,0.00739,0.00054
ad_0132,"Играй в лучшие слоты. Бонус 100%, вейджер x45. Регистрируйся",gambling,IT,160161,4322,6,0.02699,0.00148
ad_0133,Врачи в шоке: этот метод убирает 12кг без диет. Успей со скидкой 40%!,nutra,US,126031,15920,78,0.12632,0.00494
ad_0134,"Выиграй до 100,000€ с бонусом 500€! Начни с 5€ депозита",gambling,US,124196,5243,18,0.04222,0.00351
ad_0135,Спортивные ставки для всех. Простая регистрация. Начните сегодня,betting,TR,104385,2060,2,0.01974,0.00128
ad_0136,"🏆 10,000 тысяч игроков выбрали нас. Фрибет 200€€. Присоединяйся!",betting,ID,128288,4782,17,0.03728,0.00374
ad_0137,🎰 200% бонус на первый депозит! Только 5 дней. Играй и выигрывай!,gambling,MX,175431,7690,30,0.04384,0.00403
ad_0138,Казино с бонусами. Регистрация бесплатна. Начните играть,gambling,US,13134,305,0,0.02323,0.00155
ad_0139,Лучшее онлайн казино для вас. Попробуйте свою удачу сегодня,gambling,BR,10342,176,0,0.01703,0.00121
ad_0140,Фитнес-тренер раскрыл секрет: минус 12кг за 5 дней. Попробуй бесплатно!,nutra,GB,34986,1960,8,0.05603,0.0041
ad_0141,"BurnPro — проверенное средство. 100,000+ положительных отзывов",nutra,BR,48984,2446,5,0.04995,0.00207
ad_0142,Худейте эффективно с нашим продуктом. Доставка по всей стране,nutra,IT,193313,6967,8,0.03604,0.0012
ad_0143,"Выиграй до 10,000€ с бонусом 100%! Начни с 10€ депозита",gambling,GB,155941,6803,28,0.04363,0.00416
ad_0144,Натуральный продукт для снижения веса. До минус 8кг за месяц,nutra,ID,24922,645,0,0.0259,0.00129
ad_0145,Врачи в шоке: этот метод убирает 10кг без диет. Успей со скидкой 70%!,nutra,BR,36733,1802,4,0.04907,0.00254
ad_0146,Эффективное средство для похудения. Скидка 70% на первый заказ,nutra,US,117296,5169,17,0.04407,0.00341
ad_0147,Врачи в шоке: этот метод убирает 15кг без диет. Успей со скидкой 50%!,nutra,TR,8316,411,0,0.04945,0.00241
ad_0148,LIVE ставки на La Liga! Бонус 500€€ + кэшбэк 20%. Начни сейчас 🔥,betting,PH,125517,5255,24,0.04187,0.00459
ad_0149,Натуральный продукт для снижения веса. До минус 8кг за месяц,nutra,GB,197360,11227,46,0.05689,0.00412
ad_0150,Снижение веса естественным путём. Закажи NaturThin сегодня,nutra,IN,126863,2052,1,0.01618,0.00082
ad_0151,"🏆 50,000 тысяч игроков выбрали нас. Фрибет 200%€. Присоединяйся!",betting,IT,27718,1432,8,0.05169,0.00621
ad_0152,Ставки на спорт с коэфами до 50x. 200€€ фрибет — только 2 дней!,betting,PH,93184,2453,6,0.02633,0.00273
ad_0153,Лучшее онлайн казино для вас. Попробуйте свою удачу сегодня,gambling,PH,90200,1558,1,0.01728,0.00116
ad_0154,⚡ ГОРЯЩЕЕ ПРЕДЛОЖЕНИЕ: 200% бонус + 200 фриспинов. Осталось 24ч,gambling,PH,78310,3188,9,0.04072,0.00307
ad_0155,Похудение без диет. KetoMax со скидкой 30%. Бесплатная доставка,nutra,IN,27442,512,0,0.01867,0.00156
ad_0156,"Попробуй удачу в 50,000+ играх. Быстрые выплаты, бонус 100€",gambling,ID,186039,6144,20,0.03303,0.00337
ad_0157,"Делай ставки на спорт. Высокие коэффициенты, быстрые выплаты",betting,PH,9520,224,0,0.02357,0.00237
ad_0158,⚡ ГОРЯЩЕЕ ПРЕДЛОЖЕНИЕ: 500€ бонус + 100 фриспинов. Осталось 24ч,gambling,IN,179053,7539,23,0.04211,0.00307
ad_0159,"BurnPro — проверенное средство. 1,000+ положительных отзывов",nutra,TR,116543,3715,6,0.03188,0.00184
ad_0160,Эффективное средство для похудения. Скидка 50% на первый заказ,nutra,MX,189249,5713,12,0.03019,0.00217
ad_0161,"🏆 50,000 тысяч игроков выбрали нас. Фрибет 200%€. Присоединяйся!",betting,IN,36629,768,3,0.02097,0.00393
ad_0162,Эффективное средство для похудения. Скидка 30% на первый заказ,nutra,BR,199741,4881,4,0.02444,0.00102
ad_0163,Звезда ТВ раскрыл секрет: минус 12кг за 5 дней. Попробуй бесплатно!,nutra,GB,194945,14182,78,0.07275,0.00554
ad_0164,Снижение веса естественным путём. Закажи BurnPro сегодня,nutra,MX,31352,911,1,0.02908,0.00211
ad_0165,⚡ ГОРЯЩЕЕ ПРЕДЛОЖЕНИЕ: 200% бонус + 100 фриспинов. Осталось 24ч,gambling,IN,8708,308,0,0.0354,0.00216
ad_0166,"⚡ ПОСЛЕДНИЙ ДЕНЬ: SlimFit со скидкой 30%. Уже 100,000+ заказов",nutra,MX,150059,9768,31,0.0651,0.00319
