ad_id,ad_text,vertical,geo,impressions,clicks,conversions,ctr,cr,has_number,has_urgency,has_social_proof,emotion,cta_strength,length_category,key_benefit,ad_idx
ad_0000,"Минус 8кг за 7 дней! 50,000+ отзывов. Скидка 40% только сегодня 🔥",nutra,DE,198061,25066,182,0.12656,0.00729,True,True,True,excitement,4,short,Быстрое похудение за неделю,0
ad_0001,Получи 100€ фриспинов прямо сейчас! Регистрация за 30 секунд 🔥,gambling,MX,115604,6627,47,0.05733,0.00724,True,True,False,excitement,5,short,100€ фриспинов бесплатно,1
ad_0002,Получи 150% фриспинов прямо сейчас! Регистрация за 30 секунд 🔥,gambling,US,65990,5260,31,0.07971,0.00594,True,True,False,excitement,5,short,150% фриспинов,2
ad_0003,"Минус 12кг за 5 дней! 1,000+ отзывов. Скидка 40% только сегодня 🔥",nutra,IT,122757,16969,177,0.13824,0.01044,True,True,True,excitement,4,short,Быстрое похудение,3
ad_0004,Продукт для снижения веса. Попробуйте и оцените результат,nutra,IN,6703,69,0,0.01037,0.00073,False,False,False,neutral,3,short,снижение веса,4
ad_0005,Лучшие слоты онлайн. Бонус 200% на первый депозит. Играй сейчас,gambling,ID,45758,1229,2,0.02686,0.00187,True,True,True,greed,4,short,200% бонус на первый депозит,5
ad_0006,Получи 100% фриспинов прямо сейчас! Регистрация за 30 секунд 🔥,gambling,TR,104595,5057,11,0.04835,0.00218,True,True,False,excitement,5,short,100% фриспины,6
ad_0007,Лучшее онлайн казино для вас. Попробуйте свою удачу сегодня,gambling,TR,95165,905,0,0.00952,0.00064,False,True,False,excitement,3,short,Лучшее онлайн казино,7
ad_0008,Продукт для снижения веса. Попробуйте и оцените результат,nutra,IN,16390,148,0,0.00905,0.0006,False,False,False,neutral,3,short,снижение веса,8
ad_0009,Похудение без диет. NaturThin со скидкой 30%. Бесплатная доставка,nutra,PH,25656,403,0,0.01571,0.00062,True,False,False,greed,2,short,Похудение без диет,9
ad_0010,Натуральное средство для стройности. Простой заказ онлайн,nutra,IN,169794,2602,2,0.01533,0.00086,False,False,False,neutral,2,short,стройность,10
ad_0011,Снижение веса естественным путём. Закажи KetoMax сегодня,nutra,TR,189699,4480,4,0.02362,0.00092,False,True,False,excitement,4,short,снижение веса естественным путём,11
ad_0012,Онлайн казино. Широкий выбор игр. Бонусы для игроков,gambling,US,64742,1762,3,0.02723,0.00225,False,False,False,excitement,2,short,Широкий выбор игр и бонусы,12
ad_0013,Букмекер онлайн. Множество событий для ставок каждый день,betting,DE,66024,789,1,0.01196,0.00134,False,False,False,neutral,1,short,множество событий для ставок,13
ad_0014,"Выиграй до 100,000€ с бонусом 500€! Начни с 5€ депозита",gambling,ID,102040,2069,3,0.02028,0.00149,True,False,False,greed,4,short,"Возможность выиграть до 100,000€ с бонусом 500€ при минимальном депозите 5€",14
ad_0015,Букмекерская контора. Ставки на спорт онлайн. Регистрация,betting,BR,74986,884,1,0.0118,0.00206,False,False,False,neutral,2,short,онлайн ставки на спорт,15
ad_0016,Снижение веса естественным путём. Закажи KetoMax сегодня,nutra,DE,145021,5752,9,0.03967,0.00173,False,True,False,excitement,4,short,снижение веса естественным путём,16
ad_0017,"⚡ ПОСЛЕДНИЙ ДЕНЬ: BurnPro со скидкой 60%. Уже 5,000+ заказов",nutra,BR,172772,14459,50,0.08369,0.00348,True,True,True,fear,2,short,скидка 60%,17
ad_0018,Известный блогер раскрыл секрет: минус 5кг за 7 дней. Попробуй бесплатно!,nutra,MX,13414,461,0,0.03443,0.00115,True,True,True,excitement,4,short,быстрое похудение,18
ad_0019,"🏆 50,000 тысяч игроков выбрали нас. Фрибет 100%€. Присоединяйся!",betting,ID,153682,3073,6,0.02,0.00212,True,False,True,excitement,4,short,Фрибет 100%,19
ad_0020,Фитнес-тренер раскрыл секрет: минус 12кг за 2 дней. Попробуй бесплатно!,nutra,TR,125285,4595,10,0.03668,0.00232,True,True,True,excitement,4,short,быстрое похудение минус 12кг за 2 дня,20
ad_0021,"1,000+ игроков уже выиграли сегодня. Твоя очередь! Бонус 150%",gambling,IN,146289,5525,15,0.03777,0.00276,True,True,True,excitement,4,short,бонус 150% и возможность выиграть,21
ad_0022,"Букмекер с лицензией. 5,000+ видов спорта. Фрибет до 100€€",betting,IT,99895,1922,2,0.01925,0.00155,True,False,False,greed,3,short,Фрибет до 100€,22
ad_0023,"Играй в лучшие слоты. Бонус 500€, вейджер x30. Регистрируйся",gambling,GB,17351,555,1,0.03203,0.00352,True,False,False,greed,4,short,Бонус 500€,23
ad_0024,Онлайн казино. Широкий выбор игр. Бонусы для игроков,gambling,GB,46938,1534,2,0.03269,0.00154,False,False,False,excitement,2,short,Широкий выбор игр и бонусы,24
ad_0025,Снижение веса естественным путём. Закажи SlimFit сегодня,nutra,ID,105864,2475,3,0.02338,0.00125,False,True,False,excitement,4,short,снижение веса естественным путём,25
ad_0026,"Делай ставки на спорт. Высокие коэффициенты, быстрые выплаты",betting,IT,143704,3440,9,0.02394,0.00288,False,False,False,greed,4,short,высокие коэффициенты и быстрые выплаты,26
ad_0027,Букмекер онлайн. Множество событий для ставок каждый день,betting,MX,8009,103,0,0.01289,0.0017,False,False,False,neutral,1,short,Множество событий для ставок каждый день,27
ad_0028,Средство для похудения. Натуральные компоненты. Закажите,nutra,DE,145763,3241,3,0.02224,0.00122,False,False,False,neutral,3,short,натуральное похудение,28
ad_0029,LIVE ставки на Bundesliga! Бонус 200%€ + кэшбэк 10%. Начни сейчас 🔥,betting,TR,123940,5251,29,0.04237,0.00568,True,True,False,excitement,4,short,Бонус 200%€ + кэшбэк 10%,29
ad_0030,"Играй в лучшие слоты. Бонус 200€, вейджер x35. Регистрируйся",gambling,IN,138085,2112,2,0.0153,0.00116,True,False,True,greed,4,short,Бонус 200€,30
ad_0031,Лучшее онлайн казино для вас. Попробуйте свою удачу сегодня,gambling,IN,172496,1642,0,0.00952,0.00053,False,True,False,excitement,4,short,лучшее онлайн казино,31
ad_0032,Известный блогер раскрыл секрет: минус 10кг за 5 дней. Попробуй бесплатно!,nutra,IT,146394,7815,37,0.05339,0.00481,True,True,True,excitement,4,short,быстрое похудение,32
ad_0033,Снижение веса естественным путём. Закажи BurnPro сегодня,nutra,US,133085,5636,19,0.04235,0.00343,False,True,False,neutral,4,short,снижение веса естественным путём,33
ad_0034,Добро пожаловать в мир азарта. Играйте и выигрывайте призы,gambling,DE,100153,1841,2,0.01839,0.00121,False,False,False,excitement,4,short,выигрывать призы,34
ad_0035,⚽ Фрибет 150%€ без условий! Ставь на Serie A сегодня. Коэфы до 5x,betting,BR,27453,1399,11,0.05098,0.00809,True,True,False,greed,4,short,Фрибет 150% без условий,35
ad_0036,Натуральное средство для стройности. Простой заказ онлайн,nutra,PH,23143,243,0,0.01053,0.00101,False,False,False,neutral,2,short,натуральное средство для стройности,36
ad_0037,"⚡ ПОСЛЕДНИЙ ДЕНЬ: KetoMax со скидкой 70%. Уже 5,000+ заказов",nutra,GB,74483,4118,17,0.0553,0.00425,True,True,True,fear,4,short,скидка 70% на KetoMax,37
ad_0038,Натуральный продукт для снижения веса. До минус 8кг за месяц,nutra,IT,146373,5556,11,0.03796,0.00208,True,True,False,greed,2,short,снижение веса до 8кг за месяц,38
ad_0039,Худейте эффективно с нашим продуктом. Доставка по всей стране,nutra,BR,86714,1501,0,0.01731,0.00057,False,False,False,neutral,2,short,эффективное похудение,39
ad_0040,"Делай ставки на спорт. Высокие коэффициенты, быстрые выплаты",betting,TR,140679,2641,5,0.01878,0.00209,False,False,False,excitement,4,short,высокие коэффициенты и быстрые выплаты,40
ad_0041,Ставки на спорт с коэфами до 20x. 150%€ фрибет — только 3 дней!,betting,DE,10514,805,5,0.0766,0.00656,True,True,False,greed,4,short,высокие коэффициенты и большой фрибет,41
ad_0042,Известный блогер раскрыл секрет: минус 5кг за 5 дней. Попробуй бесплатно!,nutra,MX,190556,5087,7,0.0267,0.00138,True,True,True,excitement,4,short,быстрое похудение,42
ad_0043,Звезда ТВ раскрыл секрет: минус 5кг за 3 дней. Попробуй бесплатно!,nutra,US,23574,1678,7,0.07121,0.00472,True,True,True,excitement,4,short,быстрое похудение,43
ad_0044,"Похудей на 8кг без спорта и диет! 5,000+ довольных клиентов. Закажи сейчас",nutra,BR,146356,6883,22,0.04703,0.00329,True,True,True,greed,4,short,Похудение на 8кг без усилий,44
ad_0045,Надёжное казино с быстрыми выплатами. До 500€ бонус на депозит,gambling,IT,68700,2553,10,0.03717,0.00398,True,False,False,greed,2,short,быстрые выплаты и бонус на депозит,45
ad_0046,Ставки на спорт с коэфами до 50x. 100%€ фрибет — только 3 дней!,betting,ID,97876,2354,5,0.02406,0.00218,True,True,False,greed,4,short,высокие коэффициенты и бесплатная ставка,46
ad_0047,"Делай ставки на спорт. Высокие коэффициенты, быстрые выплаты",betting,ID,196122,3277,3,0.01671,0.00108,False,False,False,excitement,4,short,"Высокие коэффициенты, быстрые выплаты",47
ad_0048,🎰 500€ бонус на первый депозит! Только 7 дней. Играй и выигрывай!,gambling,DE,33644,3248,27,0.09655,0.00835,True,True,False,greed,4,short,500€ бонус на первый депозит,48
ad_0049,⚡ ГОРЯЩЕЕ ПРЕДЛОЖЕНИЕ: 100€ бонус + 150 фриспинов. Осталось 12ч,gambling,BR,115593,5480,19,0.04741,0.00354,True,True,False,excitement,4,short,100€ бонус + 150 фриспинов,49
ad_0050,"Попробуй удачу в 10,000+ играх. Быстрые выплаты, бонус 150%",gambling,IN,121164,2109,2,0.01741,0.00123,True,False,False,excitement,3,short,Большой выбор игр и быстрые выплаты,50
ad_0051,"Минус 8кг за 3 дней! 10,000+ отзывов. Скидка 40% только сегодня 🔥",nutra,DE,111539,11443,55,0.1026,0.00484,True,True,True,excitement,4,short,Быстрое похудение за 3 дня,51
ad_0052,Ставки на спорт с коэфами до 5x. 200€€ фрибет — только 2 дней!,betting,PH,48158,1224,3,0.02542,0.00287,True,True,False,greed,4,short,высокие коэффициенты и крупный бонус,52
ad_0053,"Букмекер с лицензией. 5,000+ видов спорта. Фрибет до 200%€",betting,US,79776,4629,28,0.05803,0.00612,True,False,False,greed,3,short,Фрибет до 200%€,53
ad_0054,Букмекерская контора. Ставки на спорт онлайн. Регистрация,betting,MX,193326,2650,3,0.01371,0.00134,False,False,False,neutral,2,short,онлайн ставки на спорт,54
ad_0055,Ставки на спорт с коэфами до 5x. 200%€ фрибет — только 5 дней!,betting,GB,156828,5352,18,0.03413,0.00339,True,True,False,greed,4,short,высокие коэффициенты и большой фрибет,55
ad_0056,"Минус 5кг за 7 дней! 10,000+ отзывов. Скидка 70% только сегодня 🔥",nutra,MX,129987,9218,82,0.07092,0.00891,True,True,True,excitement,4,short,Быстрое похудение,56
ad_0057,"⚡ ПОСЛЕДНИЙ ДЕНЬ: SlimFit со скидкой 70%. Уже 10,000+ заказов",nutra,MX,53712,3269,13,0.06088,0.004,True,True,True,fear,2,short,скидка 70%,57
ad_0058,Получи 50€ фриспинов прямо сейчас! Регистрация за 30 секунд 🔥,gambling,IT,66657,4296,15,0.06445,0.00363,True,True,False,excitement,5,short,50€ фриспинов,58
ad_0059,Ставки на спорт. Бонусы и акции для клиентов,betting,DE,154336,3548,10,0.02299,0.00288,False,False,False,greed,2,short,бонусы и акции,59
ad_0060,Надёжное казино с быстрыми выплатами. До 100% бонус на депозит,gambling,IT,167367,7399,19,0.04421,0.00269,True,False,False,greed,2,short,быстрые выплаты и бонус на депозит,60
ad_0061,Онлайн казино. Широкий выбор игр. Бонусы для игроков,gambling,ID,158006,3499,4,0.02215,0.00116,False,False,False,excitement,2,short,Широкий выбор игр и бонусы,61
ad_0062,Эффективное средство для похудения. Скидка 50% на первый заказ,nutra,MX,58545,1997,7,0.03412,0.00395,True,False,False,greed,3,short,похудение со скидкой,62
ad_0063,Известный блогер раскрыл секрет: минус 12кг за 7 дней. Попробуй бесплатно!,nutra,TR,181079,4311,5,0.02381,0.00121,True,True,True,excitement,4,short,минус 12кг за 7 дней,63
ad_0064,"SlimFit — проверенное средство. 100,000+ положительных отзывов",nutra,IN,7441,192,0,0.02584,0.00133,True,False,True,neutral,1,short,проверенное средство для похудения,64
ad_0065,Лучшие коэффициенты на Champions League. Начни с бонуса 100%€,betting,IT,145937,2280,3,0.01563,0.0016,True,False,False,greed,4,short,Лучшие коэффициенты и 100% бонус,65
ad_0066,"Выиграй до 100,000€ с бонусом 150%! Начни с 5€ депозита",gambling,MX,69037,1439,2,0.02085,0.00192,True,False,False,greed,4,short,Большой выигрыш с высоким бонусом при минимальном депозите,66
ad_0067,"1,000+ событий каждый день. Фрибет 500€€ при регистрации. Успей забрать!",betting,IN,189428,4180,14,0.02207,0.00351,True,True,False,greed,4,short,Фрибет 500€ при регистрации,67
ad_0068,Спортивные ставки для всех. Простая регистрация. Начните сегодня,betting,IT,176435,2852,4,0.01617,0.00147,False,True,False,excitement,4,short,простая регистрация,68
ad_0069,Средство для похудения. Натуральные компоненты. Закажите,nutra,US,150385,5477,8,0.03642,0.00151,False,False,False,neutral,2,short,натуральные компоненты для похудения,69
ad_0070,Ставки на спорт. Бонусы и акции для клиентов,betting,DE,40203,735,1,0.01829,0.00271,False,False,False,greed,2,short,бонусы и акции,70
ad_0071,Ставки на спорт. Бонусы и акции для клиентов,betting,DE,33058,382,0,0.01156,0.00122,False,False,False,greed,2,short,Бонусы и акции,71
ad_0072,"⚡ ПОСЛЕДНИЙ ДЕНЬ: KetoMax со скидкой 50%. Уже 100,000+ заказов",nutra,MX,193117,13162,68,0.06816,0.00517,True,True,True,fear,4,short,скидка 50%,72
ad_0073,Букмекерская контора. Ставки на спорт онлайн. Регистрация,betting,BR,171261,1724,1,0.01007,0.00068,False,False,False,neutral,2,short,онлайн ставки на спорт,73
ad_0074,"Делай ставки на спорт. Высокие коэффициенты, быстрые выплаты",betting,MX,70829,1716,4,0.02423,0.00265,False,False,False,excitement,4,short,Высокие коэффициенты и быстрые выплаты,74
ad_0075,Онлайн казино. Широкий выбор игр. Бонусы для игроков,gambling,DE,116037,3557,9,0.03066,0.00272,False,False,False,excitement,2,short,широкий выбор игр и бонусы,75
ad_0076,⚽ Фрибет 200%€ без условий! Ставь на Premier League сегодня. Коэфы до 20x,betting,US,47357,3023,20,0.06385,0.00685,True,True,False,greed,4,short,Фрибет 200% без условий,76
ad_0077,Похудение без диет. SlimFit со скидкой 60%. Бесплатная доставка,nutra,PH,34327,728,0,0.02121,0.00103,True,False,False,greed,2,short,Похудение без диет со скидкой 60%,77
ad_0078,"Играй в лучшие слоты. Бонус 100%, вейджер x40. Регистрируйся",gambling,GB,157701,9036,47,0.0573,0.00528,True,False,True,greed,4,short,100% бонус и доступ к лучшим слотам,78
ad_0079,Натуральный продукт для снижения веса. До минус 8кг за месяц,nutra,GB,15965,550,1,0.03447,0.00252,True,True,False,greed,2,short,снижение веса до 8кг за месяц,79
ad_0080,Ставки на спорт. Бонусы и акции для клиентов,betting,TR,15458,122,0,0.0079,0.001,False,False,False,greed,2,short,Бонусы и акции,80
ad_0081,Букмекерская контора. Ставки на спорт онлайн. Регистрация,betting,BR,70412,1289,1,0.01832,0.00143,False,False,False,neutral,2,short,онлайн ставки на спорт,81
ad_0082,Эффективное средство для похудения. Скидка 70% на первый заказ,nutra,DE,111529,6689,27,0.05998,0.00407,True,False,False,greed,3,short,эффективное похудение со скидкой,82
ad_0083,Начните путь к стройности сегодня. Наш продукт поможет вам,nutra,GB,67059,2223,7,0.03316,0.00351,False,True,False,excitement,3,short,достижение стройности,83
ad_0084,Добро пожаловать в мир азарта. Играйте и выигрывайте призы,gambling,GB,113080,1861,1,0.01646,0.00105,False,False,False,excitement,4,short,выигрыш призов,84
ad_0085,Играйте в казино онлайн. Множество слотов и настольных игр,gambling,GB,92080,1704,1,0.01851,0.00116,False,False,False,excitement,3,short,Множество слотов и настольных игр,85
ad_0086,"🏆 10,000 тысяч игроков выбрали нас. Фрибет 150%€. Присоединяйся!",betting,BR,105281,3542,13,0.03365,0.00373,True,False,True,excitement,4,short,Фрибет 150%€,86
ad_0087,⚡ ГОРЯЩЕЕ ПРЕДЛОЖЕНИЕ: 150% бонус + 150 фриспинов. Осталось 24ч,gambling,PH,85003,3235,12,0.03806,0.0039,True,True,False,excitement,4,short,150% бонус + 150 фриспинов,87
ad_0088,🎰 50€ бонус на первый депозит! Только 5 дней. Играй и выигрывай!,gambling,BR,109455,6564,48,0.05997,0.00742,True,True,False,excitement,4,short,50€ бонус на первый депозит,88
ad_0089,Букмекер онлайн. Множество событий для ставок каждый день,betting,IN,23198,173,0,0.00746,0.00169,False,False,False,neutral,1,short,множество событий для ставок,89
ad_0090,Букмекерская контора. Ставки на спорт онлайн. Регистрация,betting,TR,138537,1943,2,0.01403,0.00108,False,False,False,neutral,2,short,онлайн ставки на спорт,90
ad_0091,Ставки на Champions League и другие лиги. Бонус 100%€ для новых клиентов,betting,MX,73475,1490,3,0.02029,0.00234,True,False,False,greed,3,short,бонус 100% для новых клиентов,91
ad_0092,"Выиграй до 10,000€ с бонусом 100%! Начни с 20€ депозита",gambling,IT,118918,4076,13,0.03428,0.0034,True,False,False,greed,4,short,"100% bonus up to 10,000€",92
ad_0093,"Букмекер с лицензией. 1,000+ видов спорта. Фрибет до 100€€",betting,TR,35315,775,1,0.02195,0.00215,True,False,False,greed,2,short,Лицензированный букмекер с большим выбором спорта и бонусом,93
ad_0094,Ставки на спорт с коэфами до 50x. 200%€ фрибет — только 3 дней!,betting,IT,5443,194,0,0.0357,0.00227,True,True,False,greed,4,short,высокие коэффициенты и бонус фрибет,94
ad_0095,Средство для похудения. Натуральные компоненты. Закажите,nutra,MX,193594,2967,3,0.01533,0.00119,False,False,False,neutral,2,short,похудение,95
ad_0096,Эффективное средство для похудения. Скидка 60% на первый заказ,nutra,BR,23343,774,1,0.03316,0.00137,True,False,False,greed,3,short,похудение со скидкой,96
ad_0097,Снижение веса естественным путём. Закажи BurnPro сегодня,nutra,TR,178903,4338,7,0.02425,0.00163,False,True,False,excitement,4,short,снижение веса естественным путём,97
ad_0098,"Играй в лучшие слоты. Бонус 200%, вейджер x45. Регистрируйся",gambling,IN,90506,1251,1,0.01383,0.00116,True,False,True,greed,4,short,бонус 200%,98
ad_0099,"Спортивные ставки онлайн. Бонус 150%€, вывод за 24 часа",betting,IN,55289,829,0,0.015,0.00106,True,True,False,greed,3,short,бонус 150% и быстрый вывод,99
ad_0100,Букмекерская контора. Ставки на спорт онлайн. Регистрация,betting,ID,50620,617,0,0.01219,0.00144,False,False,False,neutral,2,short,онлайн ставки на спорт,100
ad_0101,"Похудей на 15кг без спорта и диет! 5,000+ довольных клиентов. Закажи сейчас",nutra,IT,5106,449,3,0.08798,0.00724,True,True,True,excitement,4,short,Похудение на 15кг без усилий,101
ad_0102,Ставки на спорт с коэфами до 50x. 500€€ фрибет — только 7 дней!,betting,IN,120811,2266,3,0.01876,0.00142,True,True,False,greed,4,short,высокие коэффициенты и бесплатная ставка,102
ad_0103,"Спортивные ставки онлайн. Бонус 500€€, вывод за 24 часа",betting,BR,197927,4437,11,0.02242,0.00262,True,True,False,greed,3,short,Бонус 500€ и быстрый вывод средств,103
ad_0104,"Выиграй до 100,000€ с бонусом 100€! Начни с 5€ депозита",gambling,DE,66569,3293,41,0.04948,0.01257,True,False,False,greed,4,short,Возможность выиграть крупную сумму с минимальным депозитом,104
ad_0105,Известный блогер раскрыл секрет: минус 8кг за 5 дней. Попробуй бесплатно!,nutra,IN,17114,515,1,0.03015,0.00254,True,True,True,excitement,4,short,быстрое похудение,105
ad_0106,Надёжное казино с быстрыми выплатами. До 200€ бонус на депозит,gambling,PH,24091,665,1,0.02763,0.00269,True,False,False,greed,3,short,быстрые выплаты и бонус на депозит,106
ad_0107,Ставки на спорт. Бонусы и акции для клиентов,betting,ID,170089,1471,1,0.00865,0.00109,False,False,False,greed,2,short,Бонусы и акции,107
ad_0108,Худейте эффективно с нашим продуктом. Доставка по всей стране,nutra,BR,187545,2614,2,0.01394,0.00078,False,False,False,neutral,2,short,эффективное похудение,108
ad_0109,"Букмекер с лицензией. 50,000+ видов спорта. Фрибет до 150%€",betting,PH,176981,2619,3,0.0148,0.00152,True,False,False,greed,2,short,Фрибет до 150%,109
ad_0110,Начните путь к стройности сегодня. Наш продукт поможет вам,nutra,US,32941,1650,2,0.05009,0.00172,False,True,False,excitement,3,short,достижение стройности,110
ad_0111,"1,000+ событий каждый день. Фрибет 200€€ при регистрации. Успей забрать!",betting,BR,126778,5573,15,0.04396,0.00271,True,True,False,greed,4,short,Фрибет 200€€ при регистрации,111
ad_0112,⚡ ГОРЯЩЕЕ ПРЕДЛОЖЕНИЕ: 200€ бонус + 50 фриспинов. Осталось 48ч,gambling,MX,39954,1576,6,0.03945,0.00438,True,True,False,excitement,4,short,200€ бонус + 50 фриспинов,112
ad_0113,"Спортивные ставки онлайн. Бонус 100€€, вывод за 24 часа",betting,MX,88177,1655,2,0.01878,0.00136,True,True,False,greed,3,short,Бонус 100€ и быстрый вывод средств,113
ad_0114,Букмекер онлайн. Множество событий для ставок каждый день,betting,IT,193553,2150,2,0.01111,0.00136,False,False,False,neutral,2,short,Множество событий для ставок каждый день,114
ad_0115,Натуральное средство для стройности. Простой заказ онлайн,nutra,ID,148621,1425,0,0.00959,0.00061,False,False,False,neutral,2,short,натуральное средство для стройности,115
ad_0116,Делайте ставки на спортивные события. Широкая линия,betting,GB,129433,2595,4,0.02005,0.00165,False,False,False,excitement,3,short,Широкая линия ставок на спорт,116
ad_0117,Спортивные ставки для всех. Простая регистрация. Начните сегодня,betting,IN,69812,1408,3,0.02017,0.00244,False,True,False,excitement,4,short,Простая регистрация и доступность для всех,117
ad_0118,Продукт для снижения веса. Попробуйте и оцените результат,nutra,IN,141655,995,0,0.00703,0.00045,False,False,False,neutral,3,short,снижение веса,118
ad_0119,"🏆 10,000 тысяч игроков выбрали нас. Фрибет 500€€. Присоединяйся!",betting,BR,192051,5582,20,0.02907,0.00375,True,False,True,excitement,4,short,Фрибет 500€€,119
ad_0120,"🏆 100,000 тысяч игроков выбрали нас. Фрибет 200%€. Присоединяйся!",betting,BR,146597,4125,11,0.02814,0.00272,True,False,True,excitement,3,short,Фрибет 200%,120
ad_0121,"5,000+ игроков уже выиграли сегодня. Твоя очередь! Бонус 150%",gambling,GB,186914,17177,163,0.0919,0.00953,True,True,True,excitement,4,short,бонус 150% и возможность выиграть,121
ad_0122,Получи 500€ фриспинов прямо сейчас! Регистрация за 30 секунд 🔥,gambling,BR,111849,4309,12,0.03853,0.00279,True,True,False,excitement,5,short,500€ фриспинов,122
ad_0123,"Делай ставки на спорт. Высокие коэффициенты, быстрые выплаты",betting,MX,113992,2152,3,0.01888,0.00155,False,False,False,excitement,4,short,высокие коэффициенты и быстрые выплаты,123
ad_0124,Лучшее онлайн казино для вас. Попробуйте свою удачу сегодня,gambling,BR,115138,2997,7,0.02603,0.00235,False,True,False,excitement,4,short,лучшее онлайн казино,124
ad_0125,Делайте ставки на спортивные события. Широкая линия,betting,IT,10120,117,0,0.01157,0.00152,False,False,False,neutral,3,short,широкий выбор спортивных событий,125
